الملف (قبل النقل)	السطر	قبل	بعد	السبب	المرات
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	24	" المهارة من الأدب؟

عرفت في الباب الخامس"	" المهارة من الأدب؟

عرفت في الباب الخامس (المجلد الخامس)"	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	227	 بحسب العرف الرسمي للبلد والمؤسسة (انظر 	 بحسب العرف الرسمي للبلد والمؤسسة (انظر المجلد الثاني، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف06-ب-الدرس-الثاني.md	296	زول إلى العامية، كما تقرر في الباب الأول	زول إلى العامية، كما تقرر في الباب الأول (المجلد الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف06-ب-الدرس-الثاني.md	118	ى تحقق من المصدر]*. وسيفصّل الباب الثامن	ى تحقق من المصدر]*. وسيفصّل الباب الثامن (المجلد الثامن)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف07-أ-المدخل-والدرس-الأول.md	270	"ى غيرهم.

والكتاب يعلّمك في الباب الثاني"	"ى غيرهم.

والكتاب يعلّمك في الباب الثاني (المجلد الثاني)"	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السابع/الباب-السابع/ف01-ب-السؤال-الدرس-الثاني.md	78	أتي تفصيل أسئلة المقابلة في الباب العاشر	أتي تفصيل أسئلة المقابلة في الباب العاشر (المجلد التاسع)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السابع/الباب-السابع/ف07-ج-النقد-والنصيحة-التطبيق-والتقويم.md	270	، وهو ما يؤهله للانتقال إلى الباب الثامن	، وهو ما يؤهله للانتقال إلى الباب الثامن (المجلد الثامن)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/00-فاتحة-الباب-الثامن.md	9	اح والمداخلة في باب الحوار (الباب السابع	اح والمداخلة في باب الحوار (الباب السابع، المجلد السابع	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/00-فاتحة-الباب-الثامن.md	9	الأعلى منزلة في باب المقام (الباب الخامس	الأعلى منزلة في باب المقام (الباب الخامس، المجلد الخامس	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/00-فاتحة-الباب-الثامن.md	9	اختلاف المؤدب في باب الأدب (الباب السادس	اختلاف المؤدب في باب الأدب (الباب السادس، المجلد السادس	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/ف01-د-التطبيق-الختامي-والتقويم.md	123	 من تفصيل الأصوات الحرجة في الباب الثاني	 من تفصيل الأصوات الحرجة في الباب الثاني (المجلد الثاني)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/ف02-أ-إظهار-العلم-ومخاطبة-الكبير.md	119	ار سجل (انظر بطاقة السجلات، الباب الرابع	ار سجل (انظر بطاقة السجلات، الباب الرابع، المجلد الرابع	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-التاسع/00-فاتحة-الباب-التاسع.md	9	بع)، ومخاطبة الجمهور العام (الباب الخامس	بع)، ومخاطبة الجمهور العام (الباب الخامس، المجلد الخامس	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-التاسع/00-فاتحة-الباب-التاسع.md	9	لافتتاح والانتقال والخاتمة (الباب الرابع	لافتتاح والانتقال والخاتمة (الباب الرابع، المجلد الرابع	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-التاسع/00-فاتحة-الباب-التاسع.md	9	لباب الأول)، والصوت والوقف (الباب الثاني	لباب الأول)، والصوت والوقف (الباب الثاني، المجلد الثاني	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-التاسع/00-فاتحة-الباب-التاسع.md	9	مته من قبل: المعايير الخمسة (الباب الأول	مته من قبل: المعايير الخمسة (الباب الأول، المجلد الأول	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-التاسع/الباب-العاشر/ف01-أ-بناء-الجواب.md	477	ريف بالنفس في الباب الرابع (الفصل الرابع	ريف بالنفس في الباب الرابع (الفصل الرابع، المجلد الرابع	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-التاسع/الباب-العاشر/ف01-ب-الأسئلة-والمحاكاة.md	456	الذي رأيته عند عبد الرحمن في الباب الأول	الذي رأيته عند عبد الرحمن في الباب الأول (المجلد الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الحادي-عشر/00-فاتحة-الباب-الحادي-عشر.md	9	ب الرابع)، وحسن سؤال وجواب (الباب السابع	ب الرابع)، وحسن سؤال وجواب (الباب السابع، المجلد السابع	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الحادي-عشر/00-فاتحة-الباب-الحادي-عشر.md	9	 الثالث)، وافتتاحًا وخاتمة (الباب الرابع	 الثالث)، وافتتاحًا وخاتمة (الباب الرابع، المجلد الرابع	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الحادي-عشر/00-فاتحة-الباب-الحادي-عشر.md	9	لباب الثاني)، وجملة طبيعية (الباب الثالث	لباب الثاني)، وجملة طبيعية (الباب الثالث، المجلد الثالث	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الحادي-عشر/00-فاتحة-الباب-الحادي-عشر.md	9	بواب السابقة: صوتًا سليمًا (الباب الثاني	بواب السابقة: صوتًا سليمًا (الباب الثاني، المجلد الثاني	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الحادي-عشر/ف01-ج-التطبيق-والتقويم.md	359	عالج ذلك بالأزواج الدنيا من الباب الثاني	عالج ذلك بالأزواج الدنيا من الباب الثاني (المجلد الثاني)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الحادي-عشر/ف02-أ-المدخل-والدرس-الأول.md	177	ألقاب الرسمية في الباب الثاني عشر (انظر 	ألقاب الرسمية في الباب الثاني عشر (انظر المجلد الثاني، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف02-أ-المدخل-والمحاكاة-الأولى.md	25	والموقف العلمي ما تعلمته في الباب الثامن	والموقف العلمي ما تعلمته في الباب الثامن (المجلد الثامن)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف02-أ-المدخل-والمحاكاة-الأولى.md	25	الموقف الإداري ما تعلمته في الباب العاشر	الموقف الإداري ما تعلمته في الباب العاشر (المجلد التاسع)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	84	 عند الانتقال، كما تعلمت في الباب الثاني	 عند الانتقال، كما تعلمت في الباب الثاني (المجلد الثاني)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	70	كّر تسجيلك التشخيصي في مطلع الباب الثاني	كّر تسجيلك التشخيصي في مطلع الباب الثاني (المجلد الثاني)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	67	 نهاية المرحلة الثانية (بعد الباب السادس	 نهاية المرحلة الثانية (بعد الباب السادس، المجلد السادس	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	66	| نهاية المرحلة الأولى (بعد الباب الثالث	| نهاية المرحلة الأولى (بعد الباب الثالث، المجلد الثالث	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	65	"|---|---|---|
| اليوم الأول (الباب الأول"	"|---|---|---|
| اليوم الأول (الباب الأول، المجلد الأول"	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	36	عمر، الذي قابلناه أول مرة في الباب الأول	عمر، الذي قابلناه أول مرة في الباب الأول (المجلد الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	28	ر تسجيلك الأول، الذي طلب منه الباب الأول	ر تسجيلك الأول، الذي طلب منه الباب الأول (المجلد الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-ب-يوم-الأداء-الختامي.md	31	لمتكلم** | عمر، الذي أخفق في الباب الأول	لمتكلم** | عمر، الذي أخفق في الباب الأول (المجلد الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-ج-التطبيق-والتقويم-والخاتمة.md	225	تمع إليه بعد تسجيلك الأول من الباب الأول	تمع إليه بعد تسجيلك الأول من الباب الأول (المجلد الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-ج-التطبيق-والتقويم-والخاتمة.md	168	يل بعد تسجيلك الأول من فاتحة الباب الأول	يل بعد تسجيلك الأول من فاتحة الباب الأول (المجلد الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-ج-التطبيق-والتقويم-والخاتمة.md	5	"يرة

*(تابع الفصل الثالث من الباب الثالث"	"يرة

*(تابع الفصل الثالث من الباب الثالث (المجلد الثالث)"	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الحادي-عشر/المرجع-الأول-بنك-الأخطاء/00-فاتحة-بنك-الأخطاء.md	67	ندك في ملفك الصوتي (من فاتحة الباب الأول	ندك في ملفك الصوتي (من فاتحة الباب الأول (المجلد الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الحادي-عشر/الملاحق/ملحق-هـ-النماذج-الكاملة-٢.md	66	يطلبه الباب الحادي عشر (الإعلام والتقديم	يطلبه الباب الحادي عشر (الإعلام والتقديم، المجلد العاشر	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الحادي-عشر/الملاحق/ملحق-هـ-النماذج-الكاملة.md	149	ه؟» الذي تراه أيضًا في حلقة الباب العاشر	ه؟» الذي تراه أيضًا في حلقة الباب العاشر (المجلد التاسع)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الحادي-عشر/الملاحق/ملحق-هـ-النماذج-الكاملة.md	112	هذا يطابق ما يعلّمه الباب السابع (الحوار	هذا يطابق ما يعلّمه الباب السابع (الحوار، المجلد السابع	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
_المرافقة/بنك-الاختبارات-ودليل-المعلم/ملحق-ز-أدوات-التقويم-٢.md	11	ة ملاحظة: جلسة تدريب النطق (الباب الثاني	ة ملاحظة: جلسة تدريب النطق (الباب الثاني، المجلد الثاني	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
_المرافقة/بنك-الاختبارات-ودليل-المعلم/ملحق-ز-أدوات-التقويم.md	33	 الثاني (ض، ظ، ذ، ث، ص، ط، ق، ع، ح، خ، غ	 الثاني (ض، ظ، ذ، ث، ص، ط، ق، ع، ح، خ، غ، المجلد الثاني	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	—	(تصحيح إدراجٍ خاطئ للمجلد قبل «عشر»)	المجلد العاشر للبابين الثاني عشر والثالث عشر	خطأ في الأداة صُحّح في الجولة نفسها	1
المجلد-العاشر/الباب-الحادي-عشر/ف02-أ-المدخل-والدرس-الأول.md	—	(تصحيح إدراجٍ خاطئ للمجلد قبل «عشر»)	المجلد العاشر للبابين الثاني عشر والثالث عشر	خطأ في الأداة صُحّح في الجولة نفسها	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-أ-الملف-الصوتي-ومشروع-التخرج.md	—	(تصحيح إدراجٍ خاطئ للمجلد قبل «عشر»)	المجلد العاشر للبابين الثاني عشر والثالث عشر	خطأ في الأداة صُحّح في الجولة نفسها	1
المجلد-العاشر/الباب-الثالث-عشر/ف03-ج-التطبيق-والتقويم-والخاتمة.md	—	(تصحيح إدراجٍ خاطئ للمجلد قبل «عشر»)	المجلد العاشر للبابين الثاني عشر والثالث عشر	خطأ في الأداة صُحّح في الجولة نفسها	1
المجلد-الأول/الباب-الأول/ف03-أ-المفاهيم-والدرس.md	426	مة الحرفية في الباب الثالث، الفصل الخامس	مة الحرفية في الباب الثالث، الفصل الخامس (المجلد الثالث)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثاني/الباب-الثاني/ف06-أ-المدخل-وحروف-الذلاقة.md	204	لمخاطب الذي تعلمته في الباب الأول (انظر 	لمخاطب الذي تعلمته في الباب الأول (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثاني/الباب-الثاني/ف06-ب-التطبيق-والتقويم.md	322	راعاة المخاطب» الذي درسته في الباب الأول	راعاة المخاطب» الذي درسته في الباب الأول (المجلد الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثاني/الباب-الثاني/ف09-أ-المدخل-والدرسان.md	144	تفصيل هذا نحوي محله الباب الثالث *(انظر 	تفصيل هذا نحوي محله الباب الثالث *(انظر المجلد الثالث، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثاني/الباب-الثاني/ف10-ب-التطبيق-والتقويم.md	43	لحرجة يجب أن تأتي أولًا، لا آخرًا (انظر 	لحرجة يجب أن تأتي أولًا، لا آخرًا (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثاني/الباب-الثاني/ف11-أ-المدخل-والدرسان.md	75	ي أكثر المقامات غضبًا أو استعلاء *(انظر 	ي أكثر المقامات غضبًا أو استعلاء *(انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثاني/الباب-الثاني/ف11-أ-المدخل-والدرسان.md	46	لام **صحيحًا** ليكون **مؤثرًا**؟ *(انظر 	لام **صحيحًا** ليكون **مؤثرًا**؟ *(انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثالث/الباب-الثالث/ف02-ب-الإعراب-والنواسخ.md	112	ب واحد، والوقف فيها يقطع المعنى. *(انظر 	ب واحد، والوقف فيها يقطع المعنى. *(انظر المجلد الثاني، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثالث/الباب-الثالث/ف07-أ-الحشو-الصوتي.md	189	ل الثالث من «وقفة الثواني العشر» *(انظر 	ل الثالث من «وقفة الثواني العشر» *(انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثالث/الباب-الثالث/ف07-ب-التكرار-والغموض.md	243	جزة. وتفصيل فن الافتتاح في موضعه *(انظر 	جزة. وتفصيل فن الافتتاح في موضعه *(انظر المجلد الرابع، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثالث/الباب-الثالث/ف07-ب-التكرار-والغموض.md	24	يجاز والإطناب مفصّلين في موضعهما *(انظر 	يجاز والإطناب مفصّلين في موضعهما *(انظر المجلد الرابع، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/00-فاتحة-الباب-الرابع.md	9	"واحدة.

والبيان، كما عرفت في الباب الأول"	"واحدة.

والبيان، كما عرفت في الباب الأول (المجلد الأول)"	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف01-ب-الدرس-الثاني.md	191	ه الخريطة هي «وقفة الثواني العشر» (انظر 	ه الخريطة هي «وقفة الثواني العشر» (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف02-أ-المدخل-والدرس-الأول.md	76	آدابه مفصلة في الباب السادس، الفصل الأول	آدابه مفصلة في الباب السادس، الفصل الأول (المجلد السادس)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف02-ب-الدرس-الثاني.md	77	دئًا** من أسفل الصدر، لا من أعلاه (انظر 	دئًا** من أسفل الصدر، لا من أعلاه (انظر المجلد الثاني، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف03-ب-فن-الافتتاح.md	65	ف الرسمي. الفصحى تسع الدفء والقرب (انظر 	ف الرسمي. الفصحى تسع الدفء والقرب (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف05-أ-فن-الانتقال.md	328	لأولى أداة ربط، والثانية صوت تردد (انظر 	لأولى أداة ربط، والثانية صوت تردد (انظر المجلد الثالث، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف05-أ-فن-الانتقال.md	289	 انتقال من لغة أخرى نقلًا حرفيًّا (انظر 	 انتقال من لغة أخرى نقلًا حرفيًّا (انظر المجلد الثالث، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف05-ب-التطبيق-والتقويم.md	380	و«ثلاث» بمخرجها، ولا تجعلها سينًا (انظر 	و«ثلاث» بمخرجها، ولا تجعلها سينًا (انظر المجلد الثاني، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف06-أ-فن-الخاتمة.md	24	ؤال من أسئلة «وقفة الثواني العشر» (انظر 	ؤال من أسئلة «وقفة الثواني العشر» (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف06-ج-التطبيق-والتقويم.md	246	 مخرجها، ولا تجعلها حاءً ولا هاءً (انظر 	 مخرجها، ولا تجعلها حاءً ولا هاءً (انظر المجلد الثاني، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف10-أ-الاقتباس-والتضمين.md	136	وفي المثل السائر: لكل مقام مقال.» (انظر 	وفي المثل السائر: لكل مقام مقال.» (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الرابع/الباب-الرابع/ف10-ب-الشعر-والأمثال.md	39	مامًا، لكنه مثل سائر لا حديث نبوي (انظر 	مامًا، لكنه مثل سائر لا حديث نبوي (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الخامس/الباب-الخامس/ف01-أ-المدخل-والدرس-الأول.md	23	عن اسمك، بل عن صفتك في هذا المقام (انظر 	عن اسمك، بل عن صفتك في هذا المقام (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الخامس/الباب-الخامس/ف02-ج-التطبيق-والتقويم.md	317	ب، وأحلهم إلى الباب الثالث، الفصل الخامس	ب، وأحلهم إلى الباب الثالث، الفصل الخامس (المجلد الثالث)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الخامس/الباب-الخامس/ف03-ب-الدرس-الثاني.md	132	لم. وقد سبق تفصيل بعض هذا في الباب الأول	لم. وقد سبق تفصيل بعض هذا في الباب الأول (المجلد الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	626	لمقام، ثم قف «وقفة الثواني العشر» (انظر 	لمقام، ثم قف «وقفة الثواني العشر» (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	420	والنزول إلى مستوى عينيه حين تكلمه (انظر 	والنزول إلى مستوى عينيه حين تكلمه (انظر المجلد السادس، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/00-فاتحة-الباب-السادس.md	7	ايير الكلام الناجح، وهو **الأدب** (انظر 	ايير الكلام الناجح، وهو **الأدب** (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف01-السلام-والبشاشة-والاستماع.md	213	 كان ذلك تمرينًا يوميًّا مجانيًّا (انظر 	 كان ذلك تمرينًا يوميًّا مجانيًّا (انظر المجلد الثاني، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	393	لسماع أنفع وسيلة لإتقان الكلام»** (انظر 	لسماع أنفع وسيلة لإتقان الكلام»** (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	136	ل لسؤال «لمن؟» في النموذج السداسي (انظر 	ل لسؤال «لمن؟» في النموذج السداسي (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	87	يحتاج إلى تحقق من الصفحة واللفظ]* (انظر 	يحتاج إلى تحقق من الصفحة واللفظ]* (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	203	ت، فاذكر الوقائع ودع الحكم للسامع (انظر 	ت، فاذكر الوقائع ودع الحكم للسامع (انظر المجلد التاسع، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السادس/الباب-السادس/ف05-ب-الدرس-الثاني.md	111	 الميراث أو تدبير الأمور المالية *(انظر 	 الميراث أو تدبير الأمور المالية *(انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السابع/الباب-السابع/ف01-ب-السؤال-الدرس-الثاني.md	266	قفة الثواني العشر» من الباب الأول (انظر 	قفة الثواني العشر» من الباب الأول (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-السابع/الباب-السابع/ف02-أ-الجواب-المدخل-والدرس-الأول.md	161	حدة» التي عرفتها في ترتيب الأفكار (انظر 	حدة» التي عرفتها في ترتيب الأفكار (انظر المجلد الرابع، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/ف01-أ-المدخل-والدخول-والجلوس.md	356	وقد فُصّلت لغة الجسد في باب الأدب (انظر 	وقد فُصّلت لغة الجسد في باب الأدب (انظر المجلد السادس، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/ف01-أ-المدخل-والدخول-والجلوس.md	247	ك في ثلاثين ثانية ودقيقة ودقيقتين (انظر 	ك في ثلاثين ثانية ودقيقة ودقيقتين (انظر المجلد الرابع، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/ف01-أ-المدخل-والدخول-والجلوس.md	120	ال «أين ومتى؟» من النموذج السداسي (انظر 	ال «أين ومتى؟» من النموذج السداسي (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/ف01-ب-الكلام-في-المجلس.md	119	شيء جديد. وقد فُصّل في باب الحوار (انظر 	شيء جديد. وقد فُصّل في باب الحوار (انظر المجلد السابع، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/ف01-ب-الكلام-في-المجلس.md	85	"تسأل؟

فُصّل السؤال في باب الحوار (انظر "	"تسأل؟

فُصّل السؤال في باب الحوار (انظر المجلد السابع، "	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
المجلد-الثامن/الباب-الثامن/ف02-أ-إظهار-العلم-ومخاطبة-الكبير.md	36	باب الأول خريج ماجستير في البلاغة (انظر 	باب الأول خريج ماجستير في البلاغة (انظر المجلد الأول، 	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد (الدليل ١١١ §٢)	1
