الرقم	المجموعة	الطبقة	المؤلف	الوفاة أو السنة	العنوان	الطبعة (من سجلّ فهرسة)	مصدر بيانات الطبعة	الوظيفة في المشروع	المجلدات	حالة الاستعمال	حالة بيانات الطبعة	الأجزاء في الطبعة السابقة
مص-٠٦٥	الحديث وعلومه وشروحه	أ	مجد الدين ابن الأثير	٦٠٦	النهاية في غريب الحديث والأثر	المكتبة العلمية - بيروت، ١٣٩٩هـ - ١٩٧٩م، ٥ أجزاء	بطاقة المكتبة الشاملة 23691	غريب ألفاظ الحديث	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٦٦	الحديث وعلومه وشروحه	أ	القاضي عياض	٥٤٤	مشارق الأنوار على صحاح الآثار	دار الكمال المتحدة، الأولى، ١٤٣٧ هـ - ٢٠١٦ م، ٣ أجزاء	بطاقة المكتبة الشاملة 10005	ضبط ألفاظ الصحيحين والموطأ	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٦٧	اللغة الأولى: المعاجم وفقه اللغة	أ	الخليل بن أحمد		كتاب العين	تُحدَّد	—	أول معجمٍ عربي، وترتيبه الصوتي	—	مرشّح	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٦٨	اللغة الأولى: المعاجم وفقه اللغة	أ	الأزهري	٣٧٠	تهذيب اللغة	تحقيق محمد عوض مرعب، دار إحياء التراث العربي - بيروت، الأولى، ٢٠٠١م، ٨. أجزاء	بطاقة المكتبة الشاملة 7031	اللغة المسموعة من العرب	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٦٩	اللغة الأولى: المعاجم وفقه اللغة	أ	الجوهري		الصحاح تاج اللغة وصحاح العربية	دار العلم للملايين - بيروت، الرابعة ١٤٠٧ هـ‍ - ١٩٨٧ م، ٦ أجزاء	بطاقة المكتبة الشاملة 23235	الفصيح المشهور	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٧٠	اللغة الأولى: المعاجم وفقه اللغة	أ	ابن فارس	٣٩٥	مقاييس اللغة	تُحدَّد	—	أصول المعاني في المواد	—	مرشّح	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٧١	اللغة الأولى: المعاجم وفقه اللغة	أ	ابن فارس	٣٩٥	الصاحبي في فقه اللغة العربية ومسائلها وسنن العرب في كلامها	محمد علي بيضون، الطبعة الأولى ١٤١٨هـ-١٩٩٧م	بطاقة المكتبة الشاملة 9977	سنن العرب في كلامها	المجلد الأول	مستعمَل	تُطابق على صفحة العنوان	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٧٢	اللغة الأولى: المعاجم وفقه اللغة	أ	ابن سيده	٤٥٨	المخصص	تحقيق خليل إبراهم جفال، دار إحياء التراث العربي - بيروت، الأولى، ١٤١٧هـ ١٩٩٦م، ٥ أجزاء	بطاقة المكتبة الشاملة 3590	معجم المعاني والموضوعات	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٧٣	اللغة الأولى: المعاجم وفقه اللغة	أ	ابن سيده	٤٥٨	المحكم والمحيط الأعظم	تحقيق عبد الحميد هنداوي، دار الكتب العلمية - بيروت، الأولى، ١٤٢١ هـ - ٢٠٠٠ م، ١١ (١٠ مجلد للفهارس) أجزاء	بطاقة المكتبة الشاملة 9757	الضبط اللغوي	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٧٤	اللغة الأولى: المعاجم وفقه اللغة	أ	ابن منظور	٧١١	لسان العرب	دار صادر - بيروت، الثالثة - ١٤١٤ هـ، ١٥ أجزاء	بطاقة المكتبة الشاملة 1687	المرجع اللغوي الجامع	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٧٥	اللغة الأولى: المعاجم وفقه اللغة	أ	الفيروزآبادي	٨١٧	القاموس المحيط	مؤسسة الرسالة للطباعة والنشر والتوزيع، بيروت - لبنان، الثامنة، ١٤٢٦ هـ - ٢٠٠٥ م	بطاقة المكتبة الشاملة 7283	الضبط الموجز	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٧٦	اللغة الأولى: المعاجم وفقه اللغة	أ	مرتضى الزبيدي	١٢٠٥	تاج العروس من جواهر القاموس	٤٠ أجزاء	بطاقة المكتبة الشاملة 7030	الاستدراك والشواهد	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٧٧	اللغة الأولى: المعاجم وفقه اللغة	أ	الزمخشري	٥٣٨	أساس البلاغة	دار الكتب العلمية، بيروت - لبنان، الأولى، ١٤١٩ هـ - ١٩٩٨ م، ٢ أجزاء	بطاقة المكتبة الشاملة 21568	الحقيقة والمجاز في الاستعمال	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٧٨	اللغة الأولى: المعاجم وفقه اللغة	أ	ابن دريد	٣٢١	جمهرة اللغة	تحقيق رمزي منير بعلبكي، دار العلم للملايين - بيروت، الأولى، ١٩٨٧م، ٣ أجزاء	بطاقة المكتبة الشاملة 7032	اللغة القديمة	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٧٩	اللغة الأولى: المعاجم وفقه اللغة	أ	الثعالبي	٤٢٩	فقه اللغة وسر العربية	تحقيق عبد الرزاق المهدي، إحياء التراث العربي، الطبعة الأولى ١٤٢٢هـ - ٢٠٠٢م	بطاقة المكتبة الشاملة 11235	الفروق الدقيقة في الألفاظ	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٨٠	اللغة الأولى: المعاجم وفقه اللغة	أ	السيوطي	٩١١	المزهر في علوم اللغة وأنواعها	تحقيق فؤاد علي منصور، دار الكتب العلمية - بيروت، الأولى، ١٤١٨هـ ١٩٩٨م، ٢ أجزاء	بطاقة المكتبة الشاملة 6936	علوم اللغة وأخبار الفصاحة	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٨١	اللغة الأولى: المعاجم وفقه اللغة	أ	ابن السكيت	٢٤٤	إصلاح المنطق	تحقيق محمد مرعب، دار إحياء التراث العربي، الأولى ١٤٢٣ هـ , ٢٠٠٢ م	بطاقة المكتبة الشاملة 7508	تقويم اللسان، وما يُلحن فيه	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٨٢	اللغة الأولى: المعاجم وفقه اللغة	أ	ابن قتيبة	٢٧٦	أدب الكاتب	تحقيق محمد الدالي [ت ١٤٤٣ هـ]، مؤسسة الرسالة	بطاقة المكتبة الشاملة 26349	تقويم اليد واللسان	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٨٣	اللغة الأولى: المعاجم وفقه اللغة	أ	الحريري	٥١٦	درة الغواص في أوهام الخواص	تحقيق عرفات مطرجي، مؤسسة الكتب الثقافية - بيروت، الأولى، ١٤١٨/١٩٩٨هـ	بطاقة المكتبة الشاملة 6920	أخطاء الخاصة وتصحيحها	—	مرشّح	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٨٤	اللغة الأولى: المعاجم وفقه اللغة	أ	ابن مكي الصقلي	٥٠١	تثقيف اللسان وتلقيح الجنان	دار الكتب العلمية، الأولى، ١٤١٠ هـ - ١٩٩٠ م	بطاقة المكتبة الشاملة 16421	لحن العامة وتقويمه	—	مرشّح	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٨٥	اللغة الأولى: المعاجم وفقه اللغة	أ	أبو بكر الزبيدي	٣٧٩	لحن العوام	تُحدَّد	—	لحن العامة في الأندلس	—	للبحث	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٨٦	اللغة الأولى: المعاجم وفقه اللغة	أ	أبو هلال العسكري	٣٩٥	الفروق اللغوية	دار العلم والثقافة للنشر والتوزيع، القاهرة - مصر	بطاقة المكتبة الشاملة 10414	دقّة اختيار اللفظ	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٨٧	اللغة الأولى: المعاجم وفقه اللغة	أ	ابن السكيت	٢٤٤	كتاب الألفاظ	تُحدَّد	—	المعجم الموضوعي للتعبير	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٨٨	اللغة الأولى: المعاجم وفقه اللغة	أ	أبو عبيد القاسم بن سلام	٢٢٤	الغريب المصنف	(بيت الحكمة، دار سحنون) (تونس)، ٣ (متسلسلة الترقيم) أجزاء	بطاقة المكتبة الشاملة 1750	الألفاظ مجموعةً على المعاني	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٨٩	اللغة الأولى: المعاجم وفقه اللغة	أ	الكفوي	١٠٩٤	الكليات	تحقيق عدنان درويش - محمد المصري، مؤسسة الرسالة - بيروت	بطاقة المكتبة الشاملة 7037	المصطلحات والفروق	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٩٠	اللغة الأولى: المعاجم وفقه اللغة	أ	الشريف الجرجاني	٨١٦	التعريفات	تحقيق ضبطه وصححه جماعة من العلماء بإشراف الناشر، دار الكتب العلمية بيروت -لبنان، الأولى ١٤٠٣هـ -١٩٨٣م	بطاقة المكتبة الشاملة 7312	حدود المصطلحات	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٠٩١	اللغة الأولى: المعاجم وفقه اللغة	أ	التهانوي	بعد ١١٥٨	كشاف اصطلاحات الفنون والعلوم	مكتبة لبنان ناشرون - بيروت، الأولى - ١٩٩٦ م.، ٢. أجزاء	بطاقة المكتبة الشاملة 2573	حدود المصطلحات في الفنون وضبطها	المجلد الأول	مستعمَل	تُطابق على صفحة العنوان	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٩٢	اللغة الأولى: المعاجم وفقه اللغة	ب	مجمع اللغة العربية بالقاهرة		المعجم الوسيط	مجمع اللغة العربية بالقاهرة، الثانية [كُتبَتْ مقدمتُها ١٣٩٢ هـ = ١٩٧٢ م]	بطاقة المكتبة الشاملة 7028	الاستعمال الحديث المقرّ	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٩٣	اللغة الأولى: المعاجم وفقه اللغة	ب	أحمد مختار عمر	١٤٢٤	معجم اللغة العربية المعاصرة	عالم الكتب، الأولى، ١٤٢٩ هـ - ٢٠٠٨ م، ٤ (متسلسلة الترقيم) (الأخير فهارس) أجزاء	بطاقة المكتبة الشاملة 29511	الاستعمال المعاصر	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٩٤	اللغة الأولى: المعاجم وفقه اللغة	ب	أحمد مختار عمر	١٤٢٤	معجم الصواب اللغوي	عالم الكتب، القاهرة، الأولى، ١٤٢٩ هـ - ٢٠٠٨ م، ٢ أجزاء	بطاقة المكتبة الشاملة 7517	الصواب والخطأ في الاستعمال المعاصر	—	مرشّح	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٩٥	اللغة الأولى: المعاجم وفقه اللغة	ب	محمد العدناني	١٤٠٢	معجم الأغلاط اللغوية المعاصرة	تُحدَّد	—	الأخطاء الشائعة	—	مرشّح	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٩٦	اللغة الأولى: المعاجم وفقه اللغة	ب	محمد العدناني	١٤٠٢	معجم الأخطاء الشائعة	تُحدَّد	—	الأخطاء الشائعة	—	مرشّح	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٩٧	اللغة الأولى: المعاجم وفقه اللغة	ب	مصطفى جواد	١٣٨٨	قل ولا تقل	تُحدَّد	—	تصحيح الشائع	—	مرشّح	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٩٨	اللغة الأولى: المعاجم وفقه اللغة	ب	علي عبد الواحد وافي	١٤١١	فقه اللغة	تُحدَّد	—	فقه اللغة الحديث	—	للبحث	تُحدَّد	الافتتاحية
مص-٠٩٩	اللغة الأولى: المعاجم وفقه اللغة	ب	صبحي الصالح	١٤٠٧	دراسات في فقه اللغة	دار العلم للملايين، الطبعة الأولى ١٣٧٩هـ - ١٩٦٠م	بطاقة المكتبة الشاملة 9998	فقه اللغة الحديث	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-١٠٠	اللغة الأولى: المعاجم وفقه اللغة	أ	يوهان فك (ترجمة عبد الحليم النجار)		العربية: دراسات في اللغة واللهجات والأساليب	تُحدَّد	—	تاريخ العربية ولهجاتها	—	مرشّح	تُحدَّد	الافتتاحية
مص-١٠١	اللغة الأولى: المعاجم وفقه اللغة	أ	إبراهيم أنيس	١٣٩٧	في اللهجات العربية	تُحدَّد	—	اللهجات القديمة والحديثة	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٠٢	اللغة الأولى: المعاجم وفقه اللغة	أ	أحمد علم الدين الجندي		اللهجات العربية في التراث	تُحدَّد	—	اللهجات في كتب التراث	—	للبحث	تُحدَّد	الافتتاحية
مص-١٠٣	اللغة الأولى: المعاجم وفقه اللغة	أ	أحمد تيمور باشا	١٣٤٨	معجم تيمور الكبير في الألفاظ العامية	تحقيق دكتور حسين نصّار، دار الكتب والوثائق القومية بالقاهرة - مصر، الثانية، ١٤٢٢ هـ - ٢٠٠٢ م، ٦ (الأخير فهارس) أجزاء	بطاقة المكتبة الشاملة 150964	أصول الألفاظ العامية	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-١٠٤	اللغة الأولى: المعاجم وفقه اللغة	ب	رمضان عبد التواب	١٤٢٢	لحن العامة والتطور اللغوي	تُحدَّد	—	صلة العامية بالفصحى	—	مرشّح	تُحدَّد	الافتتاحية
مص-١٠٥	اللغة الأولى: المعاجم وفقه اللغة	ب	رمضان عبد التواب	١٤٢٢	فصول في فقه العربية	تُحدَّد	—	فقه العربية	—	للبحث	تُحدَّد	الافتتاحية
مص-١٠٦	النحو والصرف	أ	سيبويه	١٨٠	الكتاب	تحقيق عبد السلام محمد هارون، مكتبة الخانجي، القاهرة، الثالثة، ١٤٠٨ هـ - ١٩٨٨ م، ٤ أجزاء	بطاقة المكتبة الشاملة 23018	أصول الصحة، والمستقيم الحسن والقبيح	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٠٧	النحو والصرف	أ	المبرد	٢٨٥	المقتضب	تحقيق محمد عبد الخالق عظيمة.، عالم الكتب. - بيروت، ٤ أجزاء	بطاقة المكتبة الشاملة 6965	النحو البصري	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٠٨	النحو والصرف	أ	ابن السراج	٣١٦	الأصول في النحو	تحقيق عبد الحسين الفتلي، مؤسسة الرسالة، لبنان - بيروت، ٣ أجزاء	بطاقة المكتبة الشاملة 7365	تقسيم أبواب النحو	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٠٩	النحو والصرف	أ	ابن جني	٣٩٢	الخصائص	تحقيق محمد علي النجار، دار الكتب المصرية، القسم الأدبي؛ المكتبة العلمية، ٣ أجزاء	بطاقة المكتبة الشاملة 9986	حدّ اللغة، والسماع والقياس	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة
مص-١١٠	النحو والصرف	أ	ابن جني	٣٩٢	سر صناعة الإعراب	دار الكتب العلمية بيروت-لبنان، الأولي ١٤٢١هـ- ٢٠٠٠م، ٢ أجزاء	بطاقة المكتبة الشاملة 12017	الأصوات والحروف	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١١١	النحو والصرف	أ	ابن جني	٣٩٢	اللمع في العربية	تحقيق فائز فارس، دار الكتب الثقافية - الكويت	بطاقة المكتبة الشاملة 6987	مختصرٌ تعليمي قديم	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١١٢	النحو والصرف	أ	أبو علي الفارسي	٣٧٧	الإيضاح العضدي	تحقيق د. حسن شاذلي فرهود (كلية الآداب - جامعة الرياض)، الأولى، ١٣٨٩ هـ - ١٩٦٩ م.	بطاقة المكتبة الشاملة 20961	النحو التعليمي	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١١٣	النحو والصرف	أ	الزجاجي	٣٣٧	الجمل في النحو	تُحدَّد	—	النحو التعليمي	—	للبحث	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١١٤	النحو والصرف	أ	الزجاجي	٣٣٧	الإيضاح في علل النحو	تحقيق الدكتور مازن المبارك [ت ١٤٤٨ هـ]، دار النفائس - بيروت، الخامسة، ١٤٠٦ هـ -١٩٨٦ م.	بطاقة المكتبة الشاملة 143170	العلة النحوية ووظيفتها	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-١١٥	النحو والصرف	أ	الزمخشري	٥٣٨	المفصل في صنعة الإعراب	تحقيق د. علي بو ملحم، مكتبة الهلال - بيروت، الأولى، ١٩٩٣	بطاقة المكتبة الشاملة 759	النحو المرتّب	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١١٦	النحو والصرف	أ	ابن يعيش	٦٤٣	شرح المفصل	دار الكتب العلمية، بيروت - لبنان، الأولى، ١٤٢٢ هـ - ٢٠٠١ م، ٦ (٥ وجزء للفهارس) أجزاء	بطاقة المكتبة الشاملة 13301	شرح الشواهد والعلل	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١١٧	النحو والصرف	أ	ابن مالك	٦٧٢	الخلاصة (الألفية)	تُحدَّد	—	المتن المشهور في النحو	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة
مص-١١٨	النحو والصرف	أ	ابن مالك	٦٧٢	شرح التسهيل	تحقيق د. عبد الرحمن السيد - د. محمد بدوي المختون، هجر للطباعة والنشر والتوزيع والإعلان، الأولى (١٤١٠ هـ - ١٩٩٠ م)، ٤ أجزاء	بطاقة المكتبة الشاملة 13257	الاستعمال والسماع عند ابن مالك	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١١٩	النحو والصرف	أ	ابن مالك	٦٧٢	شرح الكافية الشافية	جامعة أم القرى مركز البحث العلمي وإحياء التراث الإسلامي كلية الشريعة والدراسات الإسلامية مكة المكرمة، الأولى، ١٤٠٢ هـ - ١٩٨٢ م، ٥ (متسلسلة الترقيم) (الأخير فهارس) أجزاء	بطاقة المكتبة الشاملة 12024	النحو والصرف	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٢٠	النحو والصرف	ب	ابن هشام	٧٦١	أوضح المسالك إلى ألفية ابن مالك	دار الفكر للطباعة والنشر والتوزيع - بيروت، ١٤٢٠ هـ - ٢٠٠٠ م، ٤ أجزاء	بطاقة المكتبة الشاملة 11825	الشرح التعليمي للألفية	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٢١	النحو والصرف	أ	ابن هشام	٧٦١	مغني اللبيب عن كتب الأعاريب	تحقيق د. مازن المبارك [ت ١٤٤٨ هـ]- محمد علي حمد الله [ت ١٤٣٣ هـ]، دار الفكر - دمشق، السادسة، ١٩٨٥	بطاقة المكتبة الشاملة 6972	معاني الحروف والجمل	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٢٢	النحو والصرف	ب	ابن هشام	٧٦١	شرح قطر الندى وبل الصدى	تحقيق محمد محيى الدين عبد الحميد [ت ١٣٩٢ هـ]، المكتبة التجارية الكبرى بمصر، الحادية عشرة للمحقق ١٣٨٣ هـ- ١٩٦٣ م تمتاز بدقة الضبط والزيادة في الشروح والتحقيقات	بطاقة المكتبة الشاملة 6970	النحو التعليمي	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٢٣	النحو والصرف	ب	ابن هشام	٧٦١	شرح شذور الذهب	تحقيق عبد الغني الدقر، الشركة المتحدة للتوزيع - سوريا	بطاقة المكتبة الشاملة 6969	معنى الكلام عند النحاة	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٢٤	النحو والصرف	ب	ابن عقيل	٧٦٩	شرح ابن عقيل على ألفية ابن مالك	تحقيق محمد محيي الدين عبد الحميد [ت ١٣٩٢ هـ]، دار التراث - القاهرة، دار مصر للطباعة، سعيد جودة السحار وشركاه، العشرون ١٤٠٠ هـ - ١٩٨٠ م، ٤ أجزاء	بطاقة المكتبة الشاملة 9904	حدّ الكلام	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٢٥	النحو والصرف	أ	الشاطبي	٧٩٠	المقاصد الشافية في شرح الخلاصة الكافية	تحقيق مجموعة محققين وهم:، معهد البحوث العلمية وإحياء التراث الإسلامي بجامعة أم القرى - مكة المكرمة، الأولى، ١٤٢٨ هـ - ٢٠٠٧ م.، ١٠ (الأخير فهارس) أجزاء	بطاقة المكتبة الشاملة 20562	أصول الاختصار في الألفاظ	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٢٦	النحو والصرف	أ	السيوطي	٩١١	همع الهوامع في شرح جمع الجوامع	تحقيق عبد الحميد هنداوي، المكتبة التوفيقية - مصر، ٣ أجزاء	بطاقة المكتبة الشاملة 6975	الخلاف النحوي	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٢٧	النحو والصرف	أ	السيوطي	٩١١	الأشباه والنظائر في النحو	تُحدَّد	—	القواعد الكلية	—	للبحث	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٢٨	النحو والصرف	أ	أبو البركات الأنباري	٥٧٧	الإنصاف في مسائل الخلاف	المكتبة العصرية، الأولى ١٤٢٤ هـ - ٢٠٠٣ م، ٢ أجزاء	بطاقة المكتبة الشاملة 7362	الخلاف بين البصريين والكوفيين	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٢٩	النحو والصرف	أ	أبو البركات الأنباري	٥٧٧	أسرار العربية	دار الأرقم بن أبي الأرقم، الأولى ١٤٢٠هـ- ١٩٩٩م	بطاقة المكتبة الشاملة 7502	العلة النحوية	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٣٠	النحو والصرف	أ	الرضي الأستراباذي		شرح الرضي على الكافية	تُحدَّد	—	التحليل النحوي الدقيق	—	للبحث	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٣١	النحو والصرف	أ	الرضي الأستراباذي		شرح شافية ابن الحاجب	تُحدَّد	بطاقة المكتبة الشاملة 21567	الصرف	—	للبحث	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٣٢	النحو والصرف	أ	ابن جني	٣٩٢	المنصف (شرح تصريف المازني)	دار إحياء التراث القديم، الأولى في ذي الحجة سنة ١٣٧٣هـ - أغسطس سنة ١٩٥٤م	بطاقة المكتبة الشاملة 10545	الصرف	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٣٣	النحو والصرف	أ	ابن عصفور	٦٦٩	الممتع في التصريف	تُحدَّد	—	الصرف	—	للبحث	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٣٤	النحو والصرف	أ	عبد القادر البغدادي	١٠٩٣	خزانة الأدب ولب لباب لسان العرب	مكتبة الخانجي، القاهرة، الرابعة، ١٤١٨ هـ - ١٩٩٧ م، ١٣ (١١ جزء ومجلدان فهارس) أجزاء	بطاقة المكتبة الشاملة 12732	شواهد النحو وأخبارها	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٣٥	النحو والصرف	أ	ابن السيرافي	٣٨٥	شرح أبيات سيبويه	تحقيق الدكتور محمد علي الريح هاشم، مكتبة الكليات الأزهرية، دار الفكر للطباعة والنشر والتوزيع، القاهرة - مصر، ٢ أجزاء	بطاقة المكتبة الشاملة 37487	شواهد سيبويه	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٣٦	النحو والصرف	ب	أحمد الحملاوي	١٣٥١	شذا العرف في فن الصرف	تحقيق نصر الله عبد الرحمن نصر الله، مكتبة الرشد الرياض	بطاقة المكتبة الشاملة 11243	الصرف التعليمي	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٣٧	النحو والصرف	ب	عباس حسن	١٣٩٨	النحو الوافي	دار المعارف، الطبعة الخامسة عشرة، ٤ أجزاء	بطاقة المكتبة الشاملة 10641	النحو مع الاستعمال المعاصر	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٣٨	النحو والصرف	ب	مصطفى الغلاييني	١٣٦٤	جامع الدروس العربية	المكتبة العصرية، صيدا - بيروت، الثامنة والعشرون، ١٤١٤ هـ - ١٩٩٣ م	بطاقة المكتبة الشاملة 3284	النحو التعليمي	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
